Latitude (°N),Longitude (°E)
45.84578603,6.936110892
45.67728248,7.02526656
46.04882614,10.55506154
46.2866375,9.698873513
46.39887596,10.22682095
46.25993519,9.970409547
46.40591499,10.28502443
46.43694897,13.44386969
46.36524491,13.44962238
46.36472171,13.46008236
46.08884546,10.02444528
46.25404583,9.969986996
46.09569378,10.08470481
46.25597527,11.84981979
46.26678871,9.78590018
46.10357515,10.5930986
46.92661072,11.19902879
45.65653657,7.016445258
45.54326894,7.067905943
46.97688022,11.70870603
44.11366944,7.423548901
46.27133458,9.786350358
46.91585187,11.19791439
45.90769379,7.408343256
45.32537444,7.122597733
46.50272225,9.371476108
46.30146334,8.190473899
45.92032558,7.588309116
46.81870091,11.08350845
46.36022445,8.262813138
47.02545284,12.17573326
46.0637385,10.57242634
45.90836865,7.403204886
46.18408261,10.89442473
47.04362794,11.98869448
46.14892394,10.48719429
46.24175086,9.531901794
46.51512547,12.34361783
46.62585789,12.38490856
46.97472719,11.69871891
45.51130641,7.2859288
46.18008142,10.44785687
46.54795696,12.01880218
46.58670696,10.10312245
47.04099567,12.20973419
45.58376581,7.271396
46.44881755,10.14152967
46.28803245,8.121218174
46.1754109,10.89767191
46.39765709,10.44125396
46.35551016,10.47330762
46.26231741,9.760793403
45.51360023,7.272606271
46.5536898,12.06383393
46.15221043,10.47206005
46.75193221,11.03784479
46.04910295,10.56428717
46.17639374,10.43800052
46.07962427,9.983649778
46.16934056,10.59506258
45.66438769,7.020545562
46.54589253,10.7033999
46.31468747,10.44057975
45.96956273,7.640049051
47.04776738,12.21316398
46.42411419,8.329034249
46.0540471,9.900945909
46.24044285,9.956708198
46.74331329,11.01481686
46.79985271,11.05379014
46.96177548,12.02508708
46.24696118,10.74317834
46.91547788,12.14426878
46.06142481,9.912370375
46.91268852,12.14370302
46.10209371,10.59766079
46.49567773,10.77548594
46.44930458,10.52646114
46.41275577,10.28387496
46.05602826,10.09416678
46.24236426,10.73509509
46.21361775,10.5573152
46.49273025,10.77076121
46.48182075,9.276979285
46.16645365,10.41877543
46.08789084,10.04481658
46.09234447,10.10135185
46.38817808,9.282768165
46.55555011,12.07114304
46.25571315,9.984033124
46.51353478,11.73304312
46.08285864,9.980053339
46.06890234,10.58289091
45.91316177,7.286580409
45.68261855,7.380476804
45.93177213,7.929085801
46.04828375,9.888544416
46.28538592,9.64624961
46.45041196,12.27600601
46.18227601,10.8895737
45.301672,7.125328764
46.29278967,11.83188146
46.39998226,10.63768332
46.28540536,9.620345367
46.56604572,10.6447992
46.27314919,9.732555915
44.66108345,7.078219947
46.21382437,10.56070519
46.29816949,11.83764224
45.87579889,7.029283158
46.06734453,9.951170701
45.42503138,7.151016946
46.08515604,10.01138283
46.70376535,10.99337886
44.67240181,7.08971619
46.22800551,9.563965641
47.03956435,11.96744311
46.42016813,11.83880115
46.25331128,11.91596067
46.43832999,10.13194739
46.44207975,11.83661918
46.24441208,9.735825718
46.04930398,9.893284287
45.66193435,6.913964286
46.23417514,10.67992427
46.92821667,11.12621107
46.08000005,9.995214079
46.05533283,10.09040145
46.54715262,12.07039344
46.97173178,11.75691881
46.25598103,9.75140826
46.16559742,10.42109449
45.88583934,7.679804067
46.25406963,9.990717267
46.04760105,9.904292555
45.91353307,7.560144403
46.24221928,9.734668826
46.74093939,11.04029395
46.31802295,8.215989213
46.17423024,10.44412621
45.93884045,7.600870799
46.05722859,9.905451242
46.07522598,10.01253368
46.09233615,10.06044145
44.66666865,7.085755385
46.08436981,9.981030979
46.69640171,10.72345857
46.3221295,9.927221787
46.4896895,10.77069786
46.04695342,9.910211666
45.95356157,7.499471959
47.05828598,12.20434835
46.05886126,10.07391536
46.37926328,12.04959165
46.91633735,11.20532607
46.29422462,9.682425133
45.24805901,7.131387093
45.57606725,7.07045619
46.6966441,11.00177309
46.44535086,11.82249275
45.39887606,7.18150469
46.63153634,12.37615541
46.16937533,10.43048296
46.75656996,10.73249348
46.06462692,9.930255578
46.52050872,11.73631081
46.44430917,11.83559925
46.21135109,10.51790115
46.06748178,9.945104139
42.47016241,13.56559954
46.25724303,9.979190298
45.35144271,7.147545584
46.44551628,10.15288379
46.16944894,10.42827506
45.86332688,7.488622636
46.94316579,11.17263854
46.91540948,11.20149777
46.35536175,10.46795174
46.40932415,10.16917676
46.44687679,11.83771765
46.22929695,10.67840278
46.05208298,9.88256366
45.56501789,7.276970186
46.40799064,10.17259863
46.38540797,10.16443781
46.229198,9.521415488
45.58408963,7.494368082
45.6180029,7.413507343
45.65336519,7.386506445
45.66422188,7.394264482
45.6367668,7.459959463
45.63107667,7.533772905
45.50020112,7.117033906
45.66994487,7.384208549
45.55603931,7.443283558
45.91535156,7.882125604
45.82211853,7.883322386
45.91665962,7.677239572
45.68381119,7.017038043
45.57217657,7.011353686
45.5467715,7.060503971
45.51817996,7.00618034
45.55296379,7.074918354
45.51448239,7.049035284
45.69195144,6.851481851
45.65806626,6.972839415
45.64799265,6.932259075
45.65110102,6.938697795
45.65077322,6.942756039
45.66397514,6.929119046
45.66126804,7.013743363
45.86763989,7.682318552
45.87443614,7.685258421
45.87827988,7.683206076
45.90771598,7.782331667
45.71743068,7.817911312
46.40238665,8.348526724
45.85838052,7.122140952
45.85622703,7.104566576
45.8197306,7.061869051
46.09176858,8.034367182
45.99371069,7.927484774
45.99598303,7.948044968
46.04997216,8.03607925
45.96550182,7.884865318
45.96846018,7.894804542
45.91660764,7.928731018
45.92313145,7.931581998
46.44816542,8.401366471
46.41327843,8.464098578
46.41627774,8.301257499
46.38494161,8.321288057
46.35953203,8.347089296
46.36570343,8.387093547
46.37084201,8.380462861
46.42329539,8.365384759
46.42006231,8.359559547
46.29221091,8.132580713
45.87430064,7.508887432
45.87188328,7.497805906
45.91362358,7.583811175
45.91322797,7.576356001
45.90980452,7.564248178
45.9058706,7.559792952
45.90271626,7.561914067
45.92151305,7.438320324
45.92922927,7.450998028
45.93371148,7.462988791
45.94880351,7.701697175
45.92375747,7.442945706
45.82700942,7.86830425
45.9162243,7.939756595
45.57758176,7.003842747
45.75470871,6.903022617
45.76720548,6.808020448
45.86306148,7.492839373
45.26767483,7.206973545
45.82549249,7.067562538
46.89723722,12.08759755
46.23542211,9.553162576
46.44337898,11.82605517
44.12550556,7.395308507
45.91296339,7.935556528
45.5524701,7.434743675
45.53055886,7.36239292
45.53248771,7.373763437
45.54618975,7.362062428
45.57190706,7.277778178
45.60466214,7.276835604
45.57532665,7.270791096
45.52927074,7.148012557
46.15810542,10.89100523
46.18679345,10.91760503
46.13781467,10.8381594
45.55854978,7.088520709
46.24500572,10.687598
46.4369488,13.44948154
46.38180249,12.04302589
46.45835152,12.28479873
46.4999287,12.20648033
46.41863164,12.13859731
46.34221162,12.05455515
46.4103166,11.83934373
46.41218008,11.81871241
46.51276502,11.7225638
46.53251077,11.8190001
46.51344477,11.82653439
46.64084791,12.14685471
46.89361619,12.02753937
47.00957304,12.11779554
47.01467165,12.123478
47.04241347,12.17677686
47.08440888,12.21556189
46.97322945,11.8117353
46.97232681,11.68896894
46.94188497,11.61092656
46.95770219,11.268219
46.95349853,11.27273103
46.95171059,11.28160114
46.91463982,11.20848337
46.93524411,11.1786429
46.93971676,11.17498006
46.92436878,11.1253653
46.75446027,11.02996872
46.7552758,11.03399485
46.75234314,11.04332044
46.73792858,11.04242487
46.73381297,11.0442117
46.72265342,11.06276816
46.75522467,11.10691831
46.72253414,11.0585843
46.77383649,11.14516273
46.70068582,10.99760365
46.733848,10.99783038
46.70815958,11.00179669
46.69528705,11.00730667
46.69626159,11.01357214
46.71649856,10.96615539
46.726136,10.96657576
46.72700072,10.96225444
46.76101807,10.87118135
46.77667497,10.83788422
46.76222178,10.73019189
46.75972175,10.73158094
46.75340599,10.73955399
46.77213645,10.74182208
46.73837161,10.74444356
46.72180059,10.75143492
46.71132805,10.71484263
46.70494157,10.72686024
46.70137654,10.72337174
46.6945699,10.68449841
46.68812221,10.72176903
46.6971272,10.67532141
46.76327231,10.67139105
46.80566484,10.66966394
46.80449454,10.67783036
46.80413897,10.65039724
46.71177426,10.41988792
46.56196152,10.62319805
46.52788764,10.5411476
46.48320208,10.60356169
46.4824307,10.61556656
46.49919758,10.62457898
46.49506663,10.63300416
46.52533857,10.66562247
46.53659909,10.6303645
46.53947858,10.63163755
46.56676534,10.72219275
46.52905992,10.6814128
46.52622251,10.65482888
46.51312516,10.63984505
46.48971354,10.74024585
46.53241482,10.81263962
46.46902187,10.77807628
46.48113417,10.74669795
46.47148523,10.73178106
46.46908517,10.72733872
46.46544391,10.72312774
46.46235933,10.72601063
46.45741111,10.72741057
46.45144232,10.72869708
46.44537829,10.72269776
46.4267439,10.73140603
46.41935695,10.72579309
46.42259222,10.72090732
46.45084881,10.6681466
46.3971959,10.64768608
46.39351267,10.63940944
46.24411017,10.71987009
46.2428642,10.70335002
46.25155665,10.75874679
46.19949379,10.90734262
46.19124197,10.90720178
46.15691457,10.88213063
46.15272189,10.87925915
46.20910678,10.69239918
46.17091191,10.57059991
46.02340505,10.56534815
46.04362833,10.54525653
46.04616312,10.55234595
46.08091192,10.58925854
46.08954942,10.59017851
46.02416695,10.44521157
46.06462981,10.09256174
46.0810971,10.05102107
46.07486924,10.01948784
46.07082428,10.01979036
46.0573924,9.98300138
46.06206561,9.977222719
46.0483859,9.907545202
46.09722181,9.95544399
46.09761582,9.960312819
46.10200605,9.960551138
46.09266484,10.06589106
46.09319795,10.07994648
46.02304528,10.48138827
46.10461545,10.54054128
46.11858402,10.51478936
46.12750407,10.52280908
46.13526137,10.5218259
46.12897023,10.48161216
46.14921427,10.45630994
46.17120543,10.43997492
46.18250975,10.4398367
46.20081999,10.44388444
46.18448812,10.44425986
46.15385426,10.46330222
46.17204964,10.51270967
46.20403538,10.53883177
46.33575622,10.43040491
46.31596998,10.44673073
46.35337772,10.46016693
46.41769001,10.40291352
46.39567342,10.44920136
46.39505519,10.43923101
46.33778876,10.51080034
46.35494544,10.5167559
46.35796284,10.52164578
46.44675303,10.54789001
46.44570548,10.51240257
46.44682585,10.50575477
46.44629483,10.49621151
46.47549894,10.54599935
46.48948771,10.51756891
46.49538828,10.40308636
46.49536356,10.44196394
46.52286213,10.44589307
46.44385309,10.07770331
46.43708268,10.07862184
46.44936425,10.13648228
46.44813682,10.15813096
46.45777189,10.16838855
46.47361692,10.22028717
46.43520117,10.30470931
46.41585888,10.29538558
46.37257499,10.30511364
46.40515544,10.2310326
46.38088669,10.18806038
46.35041709,10.20038482
46.24997818,9.994822836
46.25358797,9.977254561
